"","price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
"212",9.68,10.28,9.08,10.26,3967100,10.26,2016-07-29,"CRC",0.0321931589537223,0.0321931589537223
"213",10.26,10.29,9.56,9.94,2103300,9.94,2016-08-01,"CRC",-0.0311890838206628,-0.0311890838206628
"214",10.13,10.2,9,9.13,3053700,9.13,2016-08-02,"CRC",-0.0814889336016096,-0.0814889336016096
"215",8.99,10.03,8.86,9.89,3509100,9.89,2016-08-03,"CRC",0.0832420591456735,0.0832420591456735
"216",9.49,10.13,8.79,9.22,6692200,9.22,2016-08-04,"CRC",-0.0677451971688574,-0.0677451971688574
"217",9.33,9.42,8.81,9.42,3678500,9.42,2016-08-05,"CRC",0.0216919739696311,0.0216919739696311
"218",9.74,12.49,9.62,12.01,12215600,12.01,2016-08-08,"CRC",0.274946921443737,0.274946921443737
"219",12,12.45,11.911,12.24,3876500,12.24,2016-08-09,"CRC",0.0191507077435471,0.0191507077435471
"220",12.2,12.2,10.9,11.04,3792800,11.04,2016-08-10,"CRC",-0.0980392156862746,-0.0980392156862746
"221",11.21,11.93,11.2,11.85,2205700,11.85,2016-08-11,"CRC",0.0733695652173914,0.0733695652173914
"222",11.98,13.09,11.89,12.48,3664400,12.48,2016-08-12,"CRC",0.0531645569620254,0.0531645569620254
"223",13.14,13.63,12.861,13.35,3265300,13.35,2016-08-15,"CRC",0.0697115384615383,0.0697115384615383
"224",13.33,13.48,12.43,12.81,3398800,12.81,2016-08-16,"CRC",-0.0404494382022471,-0.0404494382022471
"225",12.56,12.73,12.02,12.66,2498800,12.66,2016-08-17,"CRC",-0.0117096018735363,-0.0117096018735363
"226",12.84,13.63,12.84,13.55,2618400,13.55,2016-08-18,"CRC",0.0703001579778832,0.0703001579778832
"227",13.37,13.39,12.65,12.84,2222800,12.84,2016-08-19,"CRC",-0.0523985239852399,-0.0523985239852399
"228",12.25,12.25,11.045,11.21,3793100,11.21,2016-08-22,"CRC",-0.126947040498442,-0.126947040498442
"229",10.91,11.86,10.91,11.53,3025600,11.53,2016-08-23,"CRC",0.0285459411239963,0.0285459411239963
"230",11.29,11.71,10.72,10.86,2105500,10.86,2016-08-24,"CRC",-0.0581092801387685,-0.0581092801387685
"231",10.51,10.86,10.12,10.3,2775100,10.3,2016-08-25,"CRC",-0.0515653775322282,-0.0515653775322282
"232",10.64,10.779,10.1,10.23,2253700,10.23,2016-08-26,"CRC",-0.00679611650485434,-0.00679611650485434
"233",10.08,10.59,9.9,10.26,2847400,10.26,2016-08-29,"CRC",0.00293255131964809,0.00293255131964809
"234",10.65,10.81,10.24,10.38,1979900,10.38,2016-08-30,"CRC",0.0116959064327486,0.0116959064327486
"235",10.06,10.4,9.72,9.93,3063900,9.93,2016-08-31,"CRC",-0.0433526011560694,-0.0433526011560694
"236",9.83,9.99,9.4,9.61,2389100,9.61,2016-09-01,"CRC",-0.0322255790533736,-0.0322255790533736
"237",9.91,10.77,9.88,10.42,2586000,10.42,2016-09-02,"CRC",0.0842872008324662,0.0842872008324662
"238",10.52,10.74,10.13,10.4,2157500,10.4,2016-09-06,"CRC",-0.00191938579654505,-0.00191938579654505
"239",10.55,11.17,10.51,10.91,2935700,10.91,2016-09-07,"CRC",0.0490384615384616,0.0490384615384616
"240",11.33,11.94,10.6,11.82,4836100,11.82,2016-09-08,"CRC",0.083409715857012,0.083409715857012
"241",11.3,11.45,10.785,11.09,3382400,11.09,2016-09-09,"CRC",-0.0617597292724197,-0.0617597292724197
"242",10.72,11.75,10.51,11.48,2866200,11.48,2016-09-12,"CRC",0.0351668169522092,0.0351668169522092
