,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,5 Day Percent Change,Direction
121,50.470001,50.880001,50.389999,50.720001,464200,48.371399,3/14/2018,NFG,0.007148465,0.00714853,0.65%,U
122,50.689999,50.84,49.689999,50.240002,532200,47.913631,3/15/2018,NFG,-0.009463609,-0.009463702,0.30%,E
123,50.290001,51.34,50.209999,51.130001,741900,48.762417,3/16/2018,NFG,0.017714917,0.017714948,0.48%,E
124,51.060001,51.290001,50.34,50.849998,422300,48.49538,3/19/2018,NFG,-0.005476287,-0.005476296,0.19%,E
125,50.84,51.080002,49.790001,50.02,361200,47.703819,3/20/2018,NFG,-0.0163224,-0.016322479,-0.28%,E
126,49.990002,51.220001,49.830002,50.689999,283500,48.342793,3/21/2018,NFG,0.013394609,0.013394622,0.18%,E
127,50.439999,51.389999,50.32,50.380001,379500,48.047142,3/22/2018,NFG,-0.00611572,-0.006115565,-0.30%,E
128,50.57,50.82,49.759998,49.810001,324700,47.503544,3/23/2018,NFG,-0.011313847,-0.011314013,-0.41%,E
129,50.139999,50.59,49.779999,50.52,438100,48.18066,3/26/2018,NFG,0.01425401,0.014254145,0.20%,E
130,50.59,51.48,50.220001,50.830002,453600,48.476311,3/27/2018,NFG,0.0061363,0.006136223,0.06%,E
131,50.529999,51.310001,50.16,51.240002,591400,49.269581,3/28/2018,NFG,0.016364075,0.008066102,0.51%,U
132,51.200001,52.049999,51.110001,51.450001,477600,49.471508,3/29/2018,NFG,0.004098411,0.004098341,0.81%,U
133,51.349998,51.650002,50.009998,50.209999,392500,48.27919,4/2/2018,NFG,-0.024101105,-0.024101107,0.04%,E
134,50.619999,51.040001,50.110001,50.849998,531500,48.894577,4/3/2018,NFG,0.012746423,0.012746445,0.17%,E
135,50.68,51.560001,50.279999,51.169998,375700,49.202271,4/4/2018,NFG,0.006293009,0.006293019,-0.03%,E
136,51.279999,51.939999,51.029999,51.830002,267100,49.836895,4/5/2018,NFG,0.012898266,0.012898261,0.15%,E
137,51.5,51.93,50.029999,50.279999,389100,48.346497,4/6/2018,NFG,-0.029905515,-0.029905517,0.03%,E
138,50.560001,51.16,50.169998,50.330002,435500,48.394581,4/9/2018,NFG,0.000994571,0.000994491,-0.20%,E
139,50.580002,51.169998,50.27,50.75,438100,48.798424,4/10/2018,NFG,0.008344798,0.008344883,-0.17%,E
140,50.73,51.450001,50.639999,51.360001,279500,49.384968,4/11/2018,NFG,0.012019732,0.012019724,-0.18%,E
141,51.369999,51.419998,50.720001,51.029999,298500,49.067657,4/12/2018,NFG,-0.006425255,-0.006425272,0.30%,E
142,51.240002,51.689999,50.939999,51.490002,311900,49.509972,4/13/2018,NFG,0.00901439,0.009014364,0.45%,E
143,51.509998,52.310001,51.5,52.23,280400,50.221512,4/16/2018,NFG,0.01437165,0.014371683,0.58%,U
144,52.07,52.32,51.880001,52.110001,377400,50.106125,4/17/2018,NFG,-0.002297561,-0.002297511,0.29%,E
145,52.290001,52.459999,51.77,51.82,403800,49.827274,4/18/2018,NFG,-0.005565208,-0.00556517,0.31%,E
146,51.830002,51.939999,51.23,51.599998,343900,49.615738,4/19/2018,NFG,-0.004245386,-0.004245504,0.04%,E
147,51.650002,51.880001,51.009998,51.16,279900,49.192657,4/20/2018,NFG,-0.008527153,-0.008527093,-0.41%,E
148,51.200001,51.970001,50.77,51.73,318100,49.740738,4/23/2018,NFG,0.011141521,0.011141517,-0.15%,E
149,52.040001,52.240002,51.470001,51.84,230000,49.846512,4/24/2018,NFG,0.002126506,0.002126426,0.01%,E
150,50.830002,51.279999,50.540001,50.939999,457500,48.981117,4/25/2018,NFG,-0.017361195,-0.01736113,-0.26%,E
151,50.91,51.889999,50.84,51.779999,296000,49.788818,4/26/2018,NFG,0.016490049,0.016489989,0.24%,E
152,51.75,52.16,51.619999,51.799999,349800,49.808048,4/27/2018,NFG,0.000386231,0.00038625,0.03%,E
153,51.880001,52.02,51.220001,51.349998,2013800,49.375351,4/30/2018,NFG,-0.008687291,-0.008687278,-0.19%,E
154,51.299999,51.57,50.880001,51.549999,361900,49.567661,5/1/2018,NFG,0.003894858,0.003894859,0.24%,E
155,51.619999,52.290001,51.240002,51.700001,446500,49.711899,5/2/2018,NFG,0.002909921,0.002909835,-0.03%,E
156,51.5,51.639999,50.830002,51.380001,618300,49.404202,5/3/2018,NFG,-0.006189605,-0.006189555,-0.16%,E
157,51.580002,53.080002,51.580002,52.580002,702200,50.558052,5/4/2018,NFG,0.023355301,0.02335541,0.48%,E
158,52.700001,52.970001,51.5,51.639999,463700,49.654198,5/7/2018,NFG,-0.017877548,-0.017877576,0.03%,E
159,51.389999,51.419998,50.41,51.07,536600,49.106117,5/8/2018,NFG,-0.011037959,-0.011037936,-0.24%,E
160,51.009998,51.52,50.369999,50.41,526400,48.471504,5/9/2018,NFG,-0.012923298,-0.012923438,-0.38%,E
161,50.419998,51.34,50.369999,51.150002,635100,49.183044,5/10/2018,NFG,0.014679553,0.014679667,-0.56%,D
162,51.18,51.490002,50.970001,51.299999,564400,49.327274,5/11/2018,NFG,0.002932515,0.002932493,-0.13%,E
